,XGB_CPU,XGB_GPU,LGBM
f25,0.186086223613,0.185516113801,0.243088451913
f27,0.0983673592244,0.0981487651899,0.122144796392
f26,0.0812147701728,0.0809452672118,0.0853539640587
f22,0.0640057688901,0.0629630799057,0.0722378672614
f24,0.0618005441359,0.0637610909457,0.0820150368147
f5,0.0616460077217,0.0637054736698,0.0778492544366
f8,0.0435837728493,0.0390898017797,0.00862814995092
f21,0.0366401571599,0.0406017596017,0.0455092857581
f0,0.0343667201411,0.0362339720212,0.0499599399103
f20,0.033253398436,0.0261371097474,0.00372015199642
f3,0.0323659994006,0.0331865326344,0.0340579970086
f12,0.0290109316895,0.0261536465855,0.00408837607008
f16,0.0287066874005,0.0244430830778,0.00353783372964
f9,0.0275963998234,0.0283216496862,0.0293091898076
f23,0.0209812759863,0.0268593831861,0.0185445676705
f13,0.020310543713,0.020547213993,0.01901096146
f17,0.0179913314942,0.0191196752875,0.0158623151873
f1,0.0170073607313,0.0180861210828,0.0135822636582
f6,0.015248173069,0.0163609860114,0.0145265342071
f14,0.0128925444918,0.0132882685092,0.00938535655372
f10,0.0127838411293,0.0129811704177,0.010233234247
f18,0.011783312989,0.0122523943946,0.0084788476992
f4,0.00886052563713,0.00922385425321,0.00474232529399
f19,0.00878504548719,0.00873423189516,0.00476001402569
f11,0.00878343903906,0.00838261075384,0.00465701995338
f2,0.00877649210151,0.00806116363995,0.0050220471521
f7,0.00859281497131,0.00821019444334,0.00459531333689
f15,0.00855855850142,0.00868538627433,0.0050989044469
