,XGB_CPU,XGB_GPU,LGBM
0,32,32,32
1,32,32,32
2,32,32,32
3,32,32,32
4,32,32,32
5,32,29,32
6,32,32,32
7,32,32,32
8,32,31,32
9,32,32,32
10,32,32,32
11,32,32,32
12,32,32,32
13,32,32,32
14,32,31,32
15,32,32,32
16,32,31,32
17,32,32,32
18,32,31,32
19,32,32,32
20,32,31,32
21,32,29,32
22,32,32,32
23,32,32,32
24,32,32,32
25,32,30,32
26,32,32,32
27,32,32,32
28,32,29,32
29,32,31,32
30,32,31,32
31,32,30,32
32,32,32,32
33,32,32,32
34,32,31,32
35,32,32,32
36,32,32,32
37,32,32,32
38,32,31,32
39,32,25,32
40,32,32,32
41,32,31,32
42,32,32,32
43,32,32,32
44,32,31,32
45,32,32,32
46,32,32,32
47,32,32,32
48,32,31,32
49,32,32,32
50,32,26,32
51,32,30,32
52,32,29,32
53,32,29,32
54,32,25,32
55,32,32,32
56,32,32,32
57,32,29,32
58,32,32,32
59,32,32,32
60,32,32,32
61,32,31,32
62,32,31,32
63,32,32,32
64,32,26,32
65,32,32,32
66,32,32,32
67,32,25,32
68,32,29,32
69,32,28,32
70,32,31,32
71,30,32,32
72,32,30,32
73,32,31,32
74,30,32,32
75,32,24,32
76,32,32,32
77,32,31,32
78,32,29,32
79,32,32,32
80,32,26,32
81,30,29,32
82,31,32,32
83,32,32,32
84,32,31,32
85,32,25,32
86,32,32,32
87,32,32,32
88,32,31,31
89,31,23,32
90,32,29,32
91,32,32,32
92,32,32,32
93,32,32,32
94,32,29,32
95,32,32,32
96,32,32,31
97,32,26,32
98,32,32,32
99,32,28,30
