,XGB_CPU,XGB_GPU,LGBM
f1,0.115455612247,0.121042594558,0.146366044199
f20,0.0786694672095,0.0698710534907,0.0878608418614
f24,0.0735725820367,0.0796602083461,0.0776339608052
f10,0.0663631579994,0.0620246605492,0.0415234102731
f4,0.0578669767604,0.0588767527971,0.057452492238
f27,0.0568221800986,0.057142188365,0.0643202333918
f7,0.0473299027691,0.0462143466628,0.0276156636902
f16,0.0449532171396,0.044489162019,0.0404820575228
f26,0.0434663883425,0.0418068477143,0.0474410778548
f14,0.0421177382899,0.0443416355075,0.0322048284087
f6,0.0419132109223,0.0375133035197,0.0225957138472
f18,0.0414660213984,0.0417443976756,0.0254013020273
f2,0.0410915512688,0.0410762773101,0.0704900121244
f0,0.0408302046635,0.0393258770342,0.0463440673023
f19,0.0404678527246,0.0420757413014,0.0516710696657
f5,0.0388927996262,0.0391789569524,0.0473538785861
f22,0.0381862699431,0.0354731502049,0.0272855729297
f8,0.0331424782231,0.0352760324727,0.0393703020377
f23,0.0289229353508,0.0344494951818,0.0178586890916
f3,0.0276811394069,0.0264536202221,0.0286859340232
f25,0.00078831358012,0.000329215773802,0.0
f15,0.0,0.0,0.0
f17,0.0,0.0,0.0
f13,0.0,0.00163448234099,1.79642214408e-05
f11,0.0,0.0,0.0
f21,0.0,0.0,2.48838989499e-05
f12,0.0,0.0,0.0
f9,0.0,0.0,0.0
