,XGB_CPU,XGB_GPU,LGBM
0,1024,1000,1024
1,1021,1001,1023
2,1006,986,1006
3,1011,1011,1012
4,1023,1000,1022
5,1023,1007,1023
6,1022,1013,1020
7,1019,1005,1023
8,1019,1023,1019
9,1007,1007,1012
10,1024,989,1023
11,1021,1008,1023
12,1009,1003,1005
13,1014,965,1009
14,1023,967,1021
15,1001,1006,1003
16,1004,967,1022
17,974,979,993
18,1001,987,997
19,1017,930,1020
20,1018,975,995
21,997,967,996
22,986,984,1019
23,1014,918,1014
24,1023,933,1006
25,995,914,969
26,1014,886,1003
27,960,958,999
28,990,858,957
29,921,835,984
30,1015,919,1004
31,846,892,924
32,925,937,998
33,931,854,1003
34,935,819,955
35,998,885,941
36,852,924,920
37,929,849,945
38,896,886,1019
39,770,757,823
40,838,661,849
41,828,940,970
42,920,642,908
43,922,856,936
44,902,554,991
45,580,923,878
46,972,764,715
47,777,900,947
48,922,699,821
49,640,516,867
