,XGB_CPU,XGB_GPU,LGBM
f6,0.0543044830565,0.0544910316121,0.0408932237401
f15,0.0429337929336,0.0430620074893,0.0415096237342
f3,0.0424061892402,0.043063285479,0.0350017941047
f13,0.0401428380296,0.0404247272818,0.0372966397709
f23,0.0391379347886,0.0392905704367,0.0404268345721
f2,0.0382158905554,0.0378638545332,0.0405772879788
f12,0.0375358736276,0.0374239461409,0.0421971591454
f19,0.0375080670513,0.0375663054543,0.0317435231103
f16,0.0368605620498,0.0363601817049,0.039509981867
f27,0.0368095232593,0.0359044555024,0.0406216738803
f11,0.0357430426516,0.0356345743182,0.0364419074106
f14,0.0355438307023,0.0354123183823,0.038363341265
f5,0.0353140764178,0.0358308973151,0.0353792961267
f4,0.0351004419482,0.0351563413223,0.034828804151
f26,0.0345651061899,0.0348931597077,0.0362443108976
f18,0.0344425378447,0.0344887578601,0.0354474770234
f17,0.0341351167707,0.0339352533824,0.0364953326791
f1,0.0340415767317,0.0338330996248,0.0363563112615
f0,0.0339527808055,0.0343406752416,0.0369413822977
f8,0.0329244801992,0.0329873582635,0.0330016611293
f22,0.0329057171165,0.032616042787,0.0307651943202
f7,0.0325848039502,0.032301595946,0.0334075643357
f24,0.0324661937802,0.0326869427172,0.0343010597804
f9,0.0321788816917,0.0322313588258,0.0326554520128
f20,0.0320285038247,0.0323565845424,0.0324497434217
f21,0.0298337809896,0.0300883809989,0.0306707321903
f10,0.0291513331105,0.0287841466982,0.0298493634884
f25,0.0272326406831,0.0269721464319,0.0266233243047
