,XGB_CPU,XGB_GPU,LGBM
0,128,128,128
1,128,128,128
2,128,128,128
3,128,128,128
4,128,128,128
5,128,128,128
6,128,128,128
7,128,128,128
8,128,128,128
9,128,128,128
10,128,128,128
11,128,128,128
12,128,128,128
13,128,128,128
14,128,128,128
15,128,128,128
16,128,128,128
17,128,128,128
18,128,128,128
19,128,128,128
20,127,128,128
21,128,128,128
22,128,127,128
23,127,128,128
24,128,128,128
25,128,128,128
26,128,128,128
27,128,128,128
28,128,128,128
29,128,128,128
30,128,128,128
31,128,128,128
32,128,128,128
33,128,128,128
34,128,127,128
35,128,128,128
36,128,128,128
37,128,128,128
38,128,128,128
39,127,128,128
40,128,128,127
41,128,128,128
42,128,128,128
43,128,127,128
44,128,128,128
45,127,128,128
46,128,124,128
47,128,128,128
48,127,127,128
49,128,128,126
