,XGB_CPU,XGB_GPU,LGBM,max_depth,n_features
0,176.745678902,29.7840740681,3.31117916107,5,30
1,211.578842878,32.7529609203,4.14511489868,6,30
2,246.632820129,36.2141258717,5.16674900055,7,30
3,284.531744957,38.6842250824,6.32962298393,8,30
4,325.088910103,40.8015010357,7.9940199852,9,30
5,363.068913937,43.689496994,9.70678400993,10,30
6,401.911187172,46.334291935,12.4723889828,11,30
7,442.009162903,48.3674619198,16.4204661846,12,30
8,479.460870981,51.3191621304,23.9195888042,13,30
9,524.683144808,54.5131340027,39.0832338333,14,30
10,552.845695972,57.1353538036,72.1870861053,15,30
11,174.757729053,29.5131528378,3.36265802383,5,50
12,213.897540092,32.8836188316,4.10217690468,6,50
13,250.398303986,35.4247329235,5.17888784409,7,50
14,287.987900972,38.1519229412,6.45345211029,8,50
15,325.914979935,40.7132401466,7.86747694016,9,50
16,362.704319954,43.3734538555,9.83338809013,10,50
17,405.823179007,45.9673900604,12.9424679279,11,50
18,442.696171999,48.4953699112,16.1813850403,12,50
19,479.377664089,51.2030789852,23.6467900276,13,50
20,518.922261953,54.7157020569,38.6737918854,14,50
21,558.064254045,57.8180720806,75.177615881,15,50
