,XGB_CPU,LGBM
f25,0.17062951452,0.295145522383
f27,0.122091123564,0.138448758608
f26,0.0929233265863,0.0907681772978
f22,0.0828618117865,0.0855448820206
f5,0.0728111114934,0.081383938787
f24,0.0703468746149,0.0778926456952
f3,0.0469120414875,0.0314356683679
f8,0.0392700798335,0.00926919826261
f0,0.0390405007879,0.0500300247586
f21,0.0377214784406,0.0387150238964
f9,0.0300203172197,0.0226299123737
f16,0.0217434042027,0.00271963823216
f20,0.0211566815552,0.00281109511396
f23,0.0210887265303,0.0129228557254
f12,0.0206236717065,0.00285334138727
f13,0.0188728310041,0.0112816387896
f17,0.0169411980758,0.00864124180066
f1,0.0137931135027,0.00972996501796
f6,0.0127308511744,0.0105520829888
f14,0.00883327471081,0.00417730172252
f18,0.00852881258794,0.00327625608366
f10,0.00836217334617,0.00444525030323
f2,0.00408006233267,0.000951169802622
f4,0.004068108728,0.00104119170016
f15,0.00390714627102,0.000889512428813
f11,0.00365987040716,0.000864692058308
f19,0.00350672244332,0.000755505637889
f7,0.00347517108724,0.00082350875616
