,XGB,XGB_GPU,LGB
f15,0.180906585255,0.179314928799,0.250696274774
f25,0.0998475551373,0.103256542852,0.188097282611
f9,0.065992307716,0.0663502705589,0.0757628765182
f27,0.0537417317338,0.0507531298906,0.050566696962
f4,0.0520660151835,0.05404655486,0.0485905697132
f19,0.0492823212767,0.0499363302047,0.0639002620402
f13,0.0490404094148,0.0466190953603,0.0254353600895
f7,0.0475374798325,0.0444085546393,0.0272938287572
f21,0.0474340917665,0.0408790569243,0.0236236369221
f3,0.0419291027123,0.0426078700731,0.05587855695
f22,0.0414910508892,0.0389686136766,0.0438518502999
f18,0.0384851183788,0.0380813227987,0.0485477607215
f6,0.0380855775247,0.0287234415048,0.00664298064505
f8,0.0352589672887,0.0399800982897,0.0184345379185
f12,0.0338899080195,0.0394922877137,0.0203642057631
f24,0.029546016338,0.0331113384188,0.0122952173982
f20,0.0291532847801,0.0311734662468,0.0194105510946
f17,0.0276120434474,0.0222941138061,0.00347948843545
f10,0.0239901933906,0.024827115752,0.00921107702506
f14,0.0147102399144,0.0251758676307,0.00791698536073
f16,0.0,0.0,0.0
f1,0.0,0.0,0.0
f11,0.0,0.0,0.0
f23,0.0,0.0,0.0
f5,0.0,0.0,0.0
f2,0.0,0.0,0.0
f26,0.0,0.0,0.0
f0,0.0,0.0,0.0
