,XGB_CPU,LGBM
0,3355,3247
1,3221,3364
2,3159,3140
3,3256,3235
4,3268,3413
5,3255,3282
6,3292,3194
7,3196,3380
8,3109,3261
9,3262,3066
10,3005,3250
11,3087,3094
12,3068,3299
13,2891,3127
14,2979,2930
15,3034,2987
16,2928,2984
17,2870,3058
18,2766,2849
19,3010,2894
20,2821,2704
21,2769,2635
22,2909,3049
23,2572,2647
24,2855,2849
25,2804,2556
26,2401,2652
27,2524,2681
28,2834,2409
29,2892,2529
30,2455,2176
31,1433,2128
32,1569,1966
33,1251,1728
34,1367,1228
35,1061,2074
36,1863,1227
37,909,954
38,1236,1864
39,1059,1057
40,565,1394
41,1238,1049
42,1818,1225
43,1599,981
44,794,1407
45,977,1431
46,529,1509
47,750,2510
48,2381,948
49,602,1835
50,571,929
51,631,1334
52,500,1309
53,848,1320
54,1731,2730
55,432,1965
56,453,2099
57,565,1079
58,743,1161
59,1349,1339
60,721,1361
61,2469,1111
62,514,1664
63,407,1804
64,317,1134
65,1243,796
66,1092,1650
67,442,1870
68,1063,2595
69,619,991
70,363,1029
71,1474,1213
72,1116,1647
73,262,2123
74,749,1125
75,332,1327
76,1539,1632
77,377,1155
78,509,2536
79,646,2144
80,1382,1936
81,1206,1993
82,711,2079
83,1106,1671
84,775,2169
85,857,1469
86,507,2091
87,316,1266
88,1088,2233
89,787,2026
90,310,1826
91,299,1704
92,231,1492
93,1095,1230
94,615,2136
95,251,917
96,393,1749
97,1401,1607
98,1674,896
99,256,2219
