,XGB,XGB_GPU,LGB
0,17288,16778,18135
1,16562,16229,17010
2,15721,15725,16561
3,15608,16504,16723
4,16941,15263,16693
5,15603,15478,15509
6,15674,15732,17233
7,15621,15081,15369
8,15725,13842,14586
9,14402,14996,15439
10,15048,14125,15798
11,15001,15214,15616
12,15834,14754,15703
13,15355,13333,15243
14,14682,14115,14432
15,13768,14593,14871
16,15190,13822,14112
17,12965,12455,14080
18,12832,13271,14603
19,13213,13511,14437
20,11917,13418,12753
21,13354,10589,11475
22,12266,12679,12097
23,12104,10580,12449
24,10910,10402,12942
25,9318,9088,12177
26,11093,7849,12992
27,11042,6803,10575
28,11240,7269,9709
29,7518,11235,9564
30,10479,7592,9452
31,10399,7165,9514
32,7247,7999,8484
33,8258,5755,9313
34,7005,8576,6406
35,8133,7013,6874
36,5728,5314,6210
37,7689,4060,5798
38,5594,8433,7869
39,2678,3604,3225
40,3561,2501,7635
41,3834,3431,2996
42,2838,2979,3531
43,6240,3807,3583
44,3971,1601,3936
45,1803,1716,8168
46,1986,3562,2787
47,1680,3935,3762
48,9904,3522,4864
49,4139,2057,2714
50,3320,4105,10118
51,2344,2637,3358
52,10256,2168,9405
53,1452,1255,4147
54,2265,6025,2667
55,4933,7191,3165
56,2446,3980,10349
57,1009,1978,3021
58,1658,1289,3001
59,1960,2477,2650
60,2488,857,3829
61,2894,854,8517
62,5996,1833,3928
63,1193,8198,3494
64,1579,2999,4286
65,966,1510,7910
66,1354,634,4665
67,2606,1210,3258
68,1151,1124,5906
69,4596,4417,2944
70,1444,4095,7173
71,2051,4127,3697
72,1176,2359,3746
73,676,1878,4746
74,3792,862,6282
75,1371,2069,8805
76,3407,2685,4277
77,1803,1386,3505
78,1954,1194,3209
79,1085,1694,4164
80,1236,1686,3156
81,1570,1344,3628
82,3230,1415,4007
83,2576,914,1988
84,784,592,10836
85,2063,1098,3459
86,6646,1344,3617
87,1587,3218,3154
88,2618,1907,11773
89,1571,5662,3904
90,1679,3868,11252
91,6299,3332,7228
92,1900,1064,3274
93,2380,1436,3500
94,2179,590,9183
95,1405,1406,8040
96,6433,3020,8303
97,7200,2859,7759
98,765,390,5627
99,3744,1187,8514
