,,Time(sec),Time(sec),Time(sec),Ratio,Ratio
,,XGB_CPU,XGB_GPU,LGB,XGB_CPU/LGB,XGB_GPU/LGB
n_train,max_depth,,,,,
1000000,5,77.8452351093,28.4367990494,4.78318595886,16.2747666051,5.94515858132
1000000,6,94.2224857807,33.261631012,5.77196192741,16.3241696611,5.76262134613
1000000,7,107.083663225,37.7661418915,7.13438391685,15.0095179168,5.29353933453
1000000,8,129.236618996,42.2713370323,8.26132202148,15.6435760111,5.11677633705
1000000,9,139.406635046,46.8625848293,10.2189948559,13.6419126354,4.58583113997
1000000,10,155.718498945,51.323127985,12.4624888897,12.4949759493,4.11820852474
1000000,11,181.982214928,55.7618839741,16.1331520081,11.280016133,3.45635396891
1000000,12,199.564136982,60.3916289806,21.2646820545,9.38476937818,2.83999679966
1000000,13,216.093340158,64.8757781982,29.14985919,7.41318641541,2.22559490855
1000000,14,229.338316202,69.7625980377,44.1629929543,5.19299759506,1.57966191535
1000000,15,248.677678823,75.0737280846,83.5134589672,2.97769583369,0.898941667762
2000000,5,199.748801947,63.3920030594,9.51267194748,20.9981804323,6.66395345171
2000000,6,233.645528078,74.7476460934,11.34060812,20.6025572532,6.59114972519
2000000,7,274.628819942,85.6449160576,13.8477079868,19.8320776408,6.1847719593
2000000,8,316.634289026,96.51135993,16.689054966,18.972571525,5.78291342001
2000000,9,362.465134144,107.219897985,20.3407790661,17.8196288828,5.27117951761
2000000,10,406.920536041,118.586604118,26.0571539402,15.6164612979,4.55101905567
2000000,11,449.575441122,128.783482075,30.4613959789,14.7588587678,4.22776034834
2000000,12,495.392203093,139.455430031,37.2869570255,13.2859381031,3.74005929031
2000000,13,536.95043993,150.194012165,49.0937278271,10.9372513292,3.05933199235
2000000,14,577.732150793,161.081727028,70.642411232,8.1782620485,2.28024106509
2000000,15,627.645718098,172.263535023,121.009619951,5.18674232966,1.42355240098
