,XGB,LGB
0,6784,6766
1,6575,6571
2,6168,6166
3,6669,6671
4,6410,6402
5,5988,6023
6,6250,6254
7,6387,6387
8,5926,6018
9,6110,6150
10,6253,5856
11,5949,5903
12,6064,5971
13,5996,5706
14,6159,6339
15,6190,5712
16,5482,5993
17,5646,5584
18,5296,5873
19,5553,5438
20,5784,5231
21,5253,5227
22,4891,4219
23,5435,5163
24,4131,5186
25,4561,5261
26,3893,4391
27,4854,5417
28,4649,3839
29,3684,5440
30,3502,3382
31,4805,3207
32,2945,3816
33,2673,3393
34,3072,3703
35,2683,2686
36,3135,2628
37,2462,3146
38,1972,3239
39,3231,4203
40,2945,1846
41,2252,3095
42,2736,4760
43,1898,2101
44,2125,3459
45,2534,2629
46,3190,2483
47,2506,2711
48,1919,2192
49,2175,2070
50,1879,2786
51,3468,2376
52,3238,1527
53,2065,3998
54,2484,2299
55,2325,1766
56,3411,2203
57,2299,1747
58,1535,4806
59,2636,2568
60,2485,1809
61,2254,4350
62,3340,3786
63,2742,3027
64,4843,2085
65,2793,1652
66,3216,2597
67,2194,3389
68,1603,2999
69,2961,2324
70,4469,1686
71,1712,3650
72,2020,4520
73,3254,1870
74,3195,1900
75,1736,3192
76,2140,3686
77,2364,1810
78,3094,2160
79,1648,3385
80,2632,2280
81,2558,1542
82,2043,2208
83,3043,4993
84,5287,2213
85,2799,3353
86,1903,2663
87,3262,3914
88,4308,3967
89,4462,3271
90,3776,1697
91,2304,2038
92,3350,2916
93,2585,1965
94,4883,4590
95,4474,2926
96,3553,2305
97,2596,1403
98,1615,3805
99,2104,1883
