,no_depth_limit,depth,depth_8,depth_18
0,2048,1972,256,2048
1,2048,1942,256,2048
2,2048,1954,256,2048
3,2048,1979,256,2048
4,2048,1974,256,2048
5,2048,1882,256,2048
6,2048,1930,256,2048
7,2048,1928,256,2048
8,2048,1963,255,2048
9,2048,1889,256,2048
10,2048,1895,256,2048
11,2048,1901,256,2048
12,2048,1927,256,2048
13,2048,1887,256,2048
14,2048,1866,256,2048
15,2048,1872,256,2048
16,2048,1855,245,2048
17,2048,1710,256,2048
18,2048,1684,252,2048
19,2048,1846,255,2048
20,2048,1744,255,2048
21,2048,1751,256,2048
22,2048,1638,211,2048
23,2048,1845,253,2048
24,2048,1695,209,2048
25,2048,1540,249,2048
26,2048,1741,229,2048
27,2048,1217,255,2048
28,2048,1256,254,2048
29,2048,1228,255,2048
30,2048,1669,223,2048
31,2048,1288,251,2048
32,2048,1308,222,2048
33,2048,835,227,2048
34,2048,1218,256,2048
35,2048,1050,237,2048
36,2048,936,255,2048
37,2048,1557,249,2048
38,2048,1569,205,2048
39,2048,981,247,2048
40,2048,1686,242,2048
41,2048,1200,250,2048
42,2048,886,254,2048
43,2048,1387,255,2048
44,2048,1077,255,2048
45,2048,1192,238,2048
46,2048,1076,233,2048
47,2048,987,245,2048
48,2048,1198,222,2048
49,2048,1118,246,2048
50,2048,1458,224,2048
51,2048,1578,255,2048
52,2048,1173,245,2048
53,2048,1210,248,2048
54,2048,880,220,2048
55,2048,1215,256,2048
56,2048,1309,236,2048
57,2048,1053,251,2048
58,2048,1300,240,2048
59,2048,854,203,2048
60,2048,1108,254,2048
61,2048,1058,244,2048
62,2048,1121,253,2048
63,2048,1439,241,2048
64,2048,826,234,2048
65,2048,1180,241,2048
66,2048,1586,231,2048
67,2048,955,245,2048
68,2048,1703,214,2048
69,2048,945,226,2048
70,2048,891,252,2048
71,2048,1061,196,2048
72,2048,1670,249,2048
73,2048,852,253,2048
74,2048,1260,212,2048
75,2048,965,236,2048
76,2048,1200,219,2048
77,2048,1571,205,2048
78,2048,1295,230,2048
79,2048,851,256,2048
80,2048,864,241,2048
81,2048,802,245,2048
82,2048,1106,221,2048
83,2048,1099,222,2048
84,2048,1270,204,2048
85,2048,854,241,2048
86,2048,955,256,2048
87,2048,1510,249,2048
88,2048,898,236,2048
89,2048,1236,220,2048
90,2048,1493,190,2048
91,2048,740,249,2048
92,2048,1554,183,2048
93,2048,999,222,2048
94,2048,1315,240,2048
95,2048,1273,188,2048
96,2048,1471,197,2048
97,2048,812,252,2048
98,2048,1070,254,2048
99,2048,1091,221,2048
