,XGB,XGB_GPU,LGB
f58,0.0933190551606,0.0929234543106,0.0883428292464
f60,0.048610829854,0.048430270657,0.0487963835608
f57,0.0484540731607,0.0491150422695,0.0710836286623
f62,0.046036478793,0.0488463857671,0.0422906482912
f47,0.0454022880246,0.047305810831,0.0469585413853
f4,0.0444226464519,0.0419927739193,0.0473903559203
f12,0.0431257969451,0.0393238389332,0.0579832840304
f44,0.0421844851628,0.0414975271566,0.0481412902698
f6,0.0412731303793,0.0366531580269,0.0258318809257
f16,0.0402177104035,0.0447100189773,0.0266588044816
f25,0.0376860921918,0.0337253228736,0.0613604635399
f24,0.0333328486853,0.0318716114485,0.0353628344806
f33,0.0318805155984,0.0317145191576,0.0521384226439
f18,0.0293234072671,0.0291014663547,0.0152570945403
f13,0.0291268659378,0.0287559324559,0.027567913041
f28,0.0282593034468,0.0278823967276,0.0188539994954
f22,0.0263008038948,0.0271438860671,0.00986746299
f45,0.0259112322687,0.0243674196156,0.0197863112516
f31,0.0253827899914,0.0247922579565,0.0239567408438
f55,0.0224657606052,0.0217841437376,0.0273436625876
f7,0.0224632873881,0.0219991799646,0.0392795771501
f59,0.0224454596229,0.0220218986789,0.0170719132858
f54,0.0220827886152,0.0213989975895,0.0296325551504
f51,0.0220613469216,0.0227571911341,0.0267628860582
f15,0.0208106545843,0.0197258446388,0.0119155651852
f49,0.0199939064891,0.018099276434,0.0118938544043
f9,0.0199780555743,0.0264900011307,0.0126744488366
f61,0.0189299238484,0.0178327604745,0.0157655323578
f20,0.015467068229,0.0178653629512,0.0174872993979
f26,0.0127020241435,0.0136146960625,0.0138882460084
f43,0.0109738145541,0.0127106985304,0.00471975137475
f14,0.00925120723717,0.0134969770319,0.00393261228658
f39,6.64732182709e-05,0.0,0.0
f11,5.78753511113e-05,0.0,0.0
f52,0.0,4.98781361009e-05,1.58590298686e-06
f50,0.0,0.0,0.0
f53,0.0,0.0,0.0
f42,0.0,0.0,0.0
f48,0.0,0.0,0.0
f56,0.0,0.0,0.0
f46,0.0,0.0,0.0
f0,0.0,0.0,0.0
f32,0.0,0.0,1.19016948874e-06
f41,0.0,0.0,0.0
f23,0.0,0.0,0.0
f2,0.0,0.0,0.0
f3,0.0,0.0,0.0
f5,0.0,0.0,0.0
f8,0.0,0.0,0.0
f10,0.0,0.0,0.0
f17,0.0,0.0,0.0
f19,0.0,0.0,0.0
f21,0.0,0.0,0.0
f27,0.0,0.0,0.0
f40,0.0,0.0,0.0
f29,0.0,0.0,0.0
f30,0.0,0.0,0.0
f1,0.0,0.0,0.0
f34,0.0,0.0,0.0
f35,0.0,0.0,0.0
f36,0.0,0.0,0.0
f37,0.0,0.0,0.0
f38,0.0,0.0,4.30243781127e-07
f63,0.0,0.0,0.0
