,XGB,XGB_GPU,LGB
0,32,32,32
1,32,32,32
2,32,32,32
3,32,32,32
4,32,32,32
5,32,32,32
6,32,32,32
7,32,32,32
8,32,32,32
9,32,32,32
10,32,32,32
11,32,32,32
12,32,32,32
13,32,32,32
14,32,32,32
15,32,32,32
16,32,32,32
17,32,32,32
18,32,32,32
19,32,32,32
20,32,32,32
21,32,32,32
22,32,32,32
23,32,32,32
24,32,32,32
25,32,32,32
26,32,32,32
27,32,32,32
28,32,32,32
29,32,32,32
30,32,31,32
31,32,32,32
32,32,32,31
33,32,32,32
34,32,32,32
35,32,32,32
36,32,32,32
37,32,32,32
38,32,32,32
39,32,32,32
40,32,32,32
41,32,32,32
42,32,32,32
43,32,32,32
44,32,32,32
45,32,32,32
46,32,30,32
47,32,32,32
48,32,30,32
49,32,32,32
50,32,32,31
51,32,30,32
52,32,32,31
53,31,31,32
54,32,30,31
55,32,32,31
56,30,32,31
57,32,32,32
58,31,30,32
59,32,32,32
60,29,32,32
61,30,31,32
62,31,32,32
63,32,32,32
64,30,31,32
65,32,32,31
66,32,32,31
67,32,28,32
68,30,32,31
69,31,32,31
70,32,32,32
71,32,31,32
72,32,32,30
73,31,29,32
74,32,32,32
75,30,32,32
76,32,32,32
77,32,32,31
78,32,32,31
79,29,31,32
80,31,32,32
81,32,32,31
82,32,32,32
83,31,32,32
84,31,32,32
85,28,29,31
86,31,32,32
87,31,32,31
88,26,32,32
89,30,32,32
90,27,31,32
91,32,32,32
92,32,31,32
93,31,27,31
94,29,32,30
95,32,32,32
96,30,32,32
97,32,29,32
98,32,24,32
99,32,27,31
