,XGB,XGB_GPU,LGB
0,0.642412,0.642392,0.642451226711
1,0.601328,0.601302,0.601376652718
2,0.56748,0.567458,0.567539155483
3,0.537972,0.53797,0.538061857224
4,0.513341,0.51334,0.51344448328
5,0.491769,0.491482,0.49190223217
6,0.473557,0.473467,0.473650217056
7,0.457108,0.457045,0.457376390696
8,0.44289,0.443054,0.443210929632
9,0.430974,0.431107,0.431225150824
10,0.419815,0.419975,0.420652866364
11,0.410292,0.410408,0.410120517015
12,0.402301,0.402457,0.402150422335
13,0.394615,0.394733,0.394790917635
14,0.387617,0.388039,0.38763231039
15,0.381629,0.382085,0.381616353989
16,0.376369,0.376746,0.376529425383
17,0.371495,0.371731,0.371537387371
18,0.36739,0.367616,0.366944104433
19,0.363624,0.364051,0.363578170538
20,0.360253,0.360136,0.360106259584
21,0.357257,0.357142,0.356618076563
22,0.354047,0.353699,0.353344976902
23,0.35117,0.351131,0.351048439741
24,0.348504,0.348904,0.348285615444
25,0.346408,0.346503,0.34568721056
26,0.343753,0.344524,0.343256473541
27,0.342004,0.342588,0.340852290392
28,0.340075,0.340731,0.338461428881
29,0.337915,0.33861,0.336812198162
30,0.336074,0.336623,0.333979159594
31,0.333333,0.333814,0.332072168589
32,0.332002,0.332192,0.331003308296
33,0.330751,0.330537,0.329172432423
34,0.328369,0.328279,0.328129470348
35,0.327391,0.326794,0.326473504305
36,0.326681,0.325837,0.325498819351
37,0.325162,0.32403,0.323894053698
38,0.323457,0.323147,0.322296559811
39,0.321926,0.32148,0.321764737368
40,0.321255,0.320569,0.320907324553
41,0.320512,0.319607,0.319979995489
42,0.31851,0.318648,0.31842020154
43,0.318,0.317116,0.317896366119
44,0.315571,0.316005,0.316051512957
45,0.314591,0.315009,0.315435796976
46,0.313796,0.314581,0.314737081528
47,0.313409,0.31411,0.313065052032
48,0.312206,0.313023,0.312469393015
49,0.311421,0.312482,0.312124222517
50,0.310849,0.312193,0.310855358839
51,0.310049,0.311927,0.310550093651
52,0.309156,0.310598,0.309339731932
53,0.308296,0.310106,0.309070080519
54,0.3072,0.308612,0.307966530323
55,0.30703,0.308391,0.307369112968
56,0.306112,0.306849,0.30659943819
57,0.305724,0.304946,0.306278854609
58,0.305505,0.304714,0.305467218161
59,0.304671,0.304081,0.304971784353
60,0.303428,0.303724,0.304725468159
61,0.303043,0.303121,0.303924888372
62,0.302927,0.302892,0.302803039551
63,0.301932,0.302484,0.301519870758
64,0.300915,0.301478,0.30114364624
65,0.30082,0.301183,0.300234556198
66,0.299869,0.301062,0.298987269402
67,0.299074,0.300057,0.298770368099
68,0.298736,0.298931,0.29833650589
69,0.298641,0.298371,0.297157883644
70,0.298482,0.298135,0.296993851662
71,0.296697,0.297737,0.295962393284
72,0.296392,0.296727,0.295780032873
73,0.295836,0.296643,0.294136732817
74,0.294439,0.295811,0.293355673552
75,0.293127,0.294962,0.293183356524
76,0.292246,0.294269,0.29282233119
77,0.291995,0.294035,0.29209125042
78,0.290903,0.293092,0.291554331779
79,0.290395,0.29238,0.291458338499
80,0.290315,0.291314,0.29117795825
81,0.289066,0.29103,0.290606439114
82,0.2888,0.290054,0.290404111147
83,0.288636,0.289204,0.289826691151
84,0.28853,0.289038,0.288644969463
85,0.288174,0.28856,0.28821760416
86,0.288085,0.288156,0.287837028503
87,0.287176,0.28775,0.287503242493
88,0.286128,0.28765,0.287151604891
89,0.285413,0.287172,0.287073493004
90,0.285047,0.287068,0.286826074123
91,0.284999,0.286744,0.285785079002
92,0.284139,0.286492,0.285725176334
93,0.283791,0.286308,0.285008490086
94,0.282931,0.286202,0.284664541483
95,0.28243,0.286112,0.284597843885
96,0.28231,0.285804,0.284316718578
97,0.281617,0.285246,0.28373119235
98,0.281547,0.284408,0.283121675253
99,0.281234,0.283662,0.282621115446
