,,,Time(sec),Time(sec),Time(sec),Ratio,Ratio,Ratio
,,,XGB_CPU,XGB_GPU,LGB,CPU/LGB,GPU/LGB,CPU/GPU
n_train,n_features,max_depth,,,,,,
500000,16,2,7.57611203194,3.94070577621,1.24945211411,6.06354733119,3.15394702344,1.92252668993
500000,16,3,10.1555690765,5.21629595757,1.34510993958,7.54999184657,3.87796997412,1.94689280653
500000,16,4,13.2622890472,6.71899318695,1.52318000793,8.70697421064,4.41116161711,1.9738506467
500000,16,5,16.4934389591,8.91096282005,1.75675916672,9.38856006651,5.07238726222,1.85091547257
500000,16,6,19.6934421062,10.4070692062,2.00937199593,9.80079454983,5.17926457985,1.89231393738
500000,16,7,23.2813160419,11.8885238171,2.33874702454,9.95461065164,5.08328762895,1.95830166976
500000,16,8,26.666424036,13.2179248333,2.6967651844,9.88830032005,4.9013999846,2.01744406723
500000,16,9,30.5134921074,14.6282241344,3.22238707542,9.46921998915,4.53956144686,2.08593277126
500000,16,10,34.0003619194,16.0711038113,3.88960886002,8.74133187759,4.13180460803,2.11562082597
500000,16,11,37.5555820465,17.5347270966,5.13423204422,7.31474185877,3.41525800656,2.14178309361
500000,16,12,42.3589618206,19.0633709431,6.87662005424,6.15985200381,2.77220070219,2.22200795164
500000,16,13,45.0234639645,20.6574530602,9.88828897476,4.55321078089,2.08908266262,2.17952638369
500000,16,14,48.7975299358,22.4023931026,15.9412779808,3.06108017153,1.40530722378,2.17822844695
500000,16,15,53.9769120216,24.4480500221,29.2210118771,1.84719517068,0.836659939258,2.20782074533
500000,32,2,13.0012168884,6.19749403,1.54426312447,8.41904250801,4.01323707846,2.09781838038
500000,32,3,18.7996850014,8.63287901878,1.7378590107,10.8177273793,4.96753704739,2.17768428823
500000,32,4,24.7375659943,11.1311309338,2.04333591461,12.1064607231,5.4475286487,2.22237669662
500000,32,5,30.899116993,14.3733310699,2.45704078674,12.5757444319,5.84985448654,2.14975337607
500000,32,6,37.1734080315,17.0528819561,2.95417189598,12.5833598519,5.77247450607,2.17989006944
500000,32,7,43.893930912,19.5834290981,3.64806604385,12.0321097218,5.36816736943,2.24138125617
500000,32,8,50.4062759876,21.889729023,4.6189968586,10.9128188502,4.73906557919,2.30273640824
500000,32,9,58.6729559898,24.4162847996,5.91704893112,9.91591529373,4.12642942179,2.40302554101
500000,32,10,65.9667789936,26.8062849045,7.41613197327,8.89503844206,3.61459113742,2.46086987543
500000,32,11,72.371669054,29.3430600166,9.37557792664,7.71916884701,3.12973346777,2.46639815387
500000,32,12,79.6640100479,31.9387021065,11.9570028782,6.66254000768,2.67112941528,2.49427825158
500000,32,13,88.5561139584,34.6922669411,17.2395009995,5.13681422456,2.01237071434,2.55261825665
500000,32,14,94.1877450943,37.7392430305,25.7647869587,3.65567723286,1.46476053115,2.4957507764
500000,32,15,101.198387861,41.3782727718,42.8655979633,2.36082995851,0.965302590838,2.44568903152
500000,64,2,24.7823989391,11.7490100861,2.27992892265,10.8698120774,5.15323524752,2.10931804106
500000,64,3,36.1956269741,17.1185638905,2.67619395256,13.5250387736,6.39660809116,2.11440791446
500000,64,4,47.7310929298,22.2845799923,3.20942616463,14.8721579751,6.94347800797,2.14188882834
500000,64,5,59.6434471607,28.3489608765,3.96658802032,15.0364612748,7.1469385606,2.10390241182
500000,64,6,71.7356860638,33.2497680187,4.91244697571,14.6028418054,6.7684736717,2.15747929499
500000,64,7,84.3529109955,37.5721380711,6.26834893227,13.4569584283,5.99394489315,2.24509211682
500000,64,8,97.4115338326,41.8401889801,8.16415691376,11.931609701,5.12486340256,2.32818101942
500000,64,9,110.95806694,46.1341218948,10.3754580021,10.6942813433,4.44646606304,2.40511929962
500000,64,10,124.651460171,50.3893301487,13.7090921402,9.09261232589,3.67561393806,2.47376696223
500000,64,11,140.039514065,54.7042620182,18.3942949772,7.61320367203,2.97397981744,2.55993790791
500000,64,12,154.678901911,59.1241118908,24.3959248066,6.34035820068,2.42352410739,2.61617294475
500000,64,13,168.606498957,64.3362419605,33.8170399666,4.98584438861,1.90247999305,2.62070792167
500000,64,14,186.752710104,69.3021969795,48.0661900043,3.88532376057,1.4418075777,2.6947588712
500000,64,15,197.388417006,75.3158040047,75.1107189655,2.62796601769,1.00273043637,2.62081006256
1000000,16,2,17.4062848091,8.00769305229,2.37324118614,7.33439353352,3.37415897678,2.17369530718
1000000,16,3,25.094326973,11.2836790085,2.73770809174,9.16618066357,4.12157857244,2.22394902887
1000000,16,4,32.9212498665,14.7011840343,3.16455411911,10.4031243036,4.64557832826,2.23936043448
1000000,16,5,41.0213489532,19.4875819683,3.71689295769,11.0364622872,5.24297637574,2.10499943092
1000000,16,6,49.2815980911,23.202963829,4.4661450386,11.0344822358,5.19530011419,2.12393547886
1000000,16,7,57.9484291077,26.4520010948,5.32238197327,10.8876870166,4.96995541239,2.19070114582
1000000,16,8,66.7474529743,29.4739048481,6.47929811478,10.3016486959,4.54893482689,2.26462877309
1000000,16,9,76.2713201046,32.7030220032,7.51467704773,10.1496471,4.3518865542,2.33224073595
1000000,16,10,87.6528010368,35.8023929596,9.04334807396,9.69251656798,3.95897544436,2.44823861734
1000000,16,11,93.4087109566,38.9044489861,11.1392810345,8.38552422437,3.49254578152,2.4009776103
1000000,16,12,102.619405985,42.0606629848,13.846832037,7.41103854736,3.03756576757,2.43979525529
1000000,16,13,112.57259202,45.3603410721,18.3944821358,6.11991091617,2.46597543422,2.48174042257
1000000,16,14,121.203980923,48.8104290962,28.0460040569,4.32161318513,1.74037017884,2.48315745563
1000000,16,15,130.572856903,52.7239089012,49.2237000465,2.65264205616,1.07110820299,2.47653976392
1000000,32,2,32.7936320305,13.7186088562,3.08941292763,10.614842625,4.44052290114,2.39044879654
1000000,32,3,47.6965498924,19.4500930309,3.57771992683,13.3315493856,5.43644931093,2.45225304663
1000000,32,4,62.915186882,25.3170440197,4.24384617805,14.82503942,5.96558945765,2.48509213134
1000000,32,5,78.5351538658,32.3226211071,5.19510698318,15.1171389001,6.22174311554,2.42972726765
1000000,32,6,94.3533008099,38.6223890781,6.37890195847,14.7914643342,6.05470805628,2.44296904106
1000000,32,7,110.643171072,44.4273591042,8.02613711357,13.7853577015,5.5353351775,2.49042872012
1000000,32,8,127.457017899,49.9248459339,10.2076640129,12.4864041114,4.89091783103,2.55297769105
1000000,32,9,144.826967001,55.4773612022,12.6706809998,11.4300854866,4.37840406552,2.6105597646
1000000,32,10,163.2203269,60.9896528721,16.2033369541,10.0732538836,3.76401805658,2.67619701399
1000000,32,11,181.004205942,66.5281100273,19.7934508324,9.14465130285,3.3611173004,2.72071769163
1000000,32,12,199.742161036,72.2934269905,25.7549788952,7.75547756604,2.80696898587,2.76293667835
1000000,32,13,217.202232122,77.8265330791,34.1534929276,6.35959058663,2.27872836445,2.79085067173
1000000,32,14,236.064868927,84.1930291653,46.8766930103,5.03586865385,1.79605308648,2.80385289931
1000000,32,15,255.023409128,91.0162231922,74.3709521294,3.42907280096,1.22381414499,2.8019555216
1000000,64,2,63.1654398441,26.5987050533,4.69440793991,13.455464598,5.6660404025,2.37475620401
1000000,64,3,92.3053839207,38.8608210087,5.55081892014,16.6291470229,7.00091672379,2.37528136372
1000000,64,4,121.914890051,50.9205431938,6.61247110367,18.4371149816,7.70068290591,2.39421817609
1000000,64,5,151.590153933,64.366533041,8.24198007584,18.3924436286,7.80959580692,2.35510826466
1000000,64,6,189.453817129,76.4033977985,10.3061079979,18.3826733785,7.41340938928,2.47965172477
1000000,64,7,213.618122816,86.8650197983,12.6002299786,16.9535098311,6.89392336061,2.45919615643
1000000,64,8,246.559714079,97.4606719017,16.1998529434,15.2198735964,6.01614547009,2.52983802869
1000000,64,9,280.326420069,107.874163151,20.652064085,13.5737725253,5.22340830954,2.59864282495
1000000,64,10,319.428027868,118.167029858,25.3384380341,12.6064608812,4.66354830944,2.7031907991
1000000,64,11,351.982106924,128.139615059,33.2194299698,10.5956696802,3.85736947249,2.74686408854
1000000,64,12,390.209032059,138.024973154,42.8395581245,9.10861477432,3.22190468802,2.82709007756
1000000,64,13,422.606306076,148.104469061,56.4791259766,7.48252206048,2.62228684492,2.85343385487
1000000,64,14,461.256719112,158.428993225,76.5464839935,6.02583809273,2.06970960598,2.91144133231
1000000,64,15,507.06249094,169.980659962,115.244176865,4.3998968515,1.47496094455,2.98305990255
2000000,16,2,43.9233410358,17.1876900196,4.80712008476,9.1371424598,3.5754650844,2.55551158915
2000000,16,3,63.6142771244,24.5828680992,5.55561900139,11.4504391155,4.42486572479,2.58774838101
2000000,16,4,84.2384040356,32.1842961311,6.46924805641,13.021359407,4.9749670828,2.6173759927
2000000,16,5,104.958348989,42.472976923,7.65824389458,13.7052763577,5.54604652289,2.47117947913
2000000,16,6,132.991883039,50.7721970081,9.06355595589,14.6732566872,5.60179660778,2.61938405025
2000000,16,7,149.929563999,58.4284741879,10.9029958248,13.7512263976,5.35893759171,2.56603592826
2000000,16,8,171.711474895,66.0808820724,12.9142949581,13.2962330079,5.11687879879,2.59850458272
2000000,16,9,195.934274912,73.2575340271,15.6226899624,12.5416477818,4.68917543672,2.67459555545
2000000,16,10,221.369604826,80.6897871494,18.0642158985,12.2545925087,4.46683031263,2.74346497427
2000000,16,11,245.849591017,87.7316939831,20.9464449883,11.7370556748,4.18838108482,2.80228934214
