,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
f3,0.13475684557547007,0.13250625664278093,0.13250625664278093,0.1265405553223643,0.1263949115821696
f29,0.09459512246879848,0.09680970417169528,0.09680970417169528,0.09071136198968696,0.09397167987987007
f16,0.08749135079562112,0.08904231169169653,0.08904231169169653,0.08520743822905374,0.0821579561201476
f2,0.07107208888967449,0.06312500629697251,0.06312500629697251,0.0731114081653658,0.06125231997240866
f12,0.07081033144574106,0.06958556960428018,0.06958556960428018,0.06664795292866414,0.0595014853738965
f31,0.07045740148600879,0.08146088123472235,0.08146088123472235,0.07532423711230951,0.04130006530158919
f9,0.06505076312099789,0.062092485346707534,0.062092485346707534,0.0636236163655511,0.0918256147366442
f24,0.05960597534952996,0.05939415426912891,0.05939415426912891,0.06302139882062292,0.11149204087845456
f8,0.05811493335318126,0.055976008857528466,0.055976008857528466,0.05887260912304995,0.08379024771883524
f6,0.053220058377267655,0.0512860106566624,0.0512860106566624,0.05447430801973953,0.06903558143455431
f17,0.04885501213231041,0.04770757049359256,0.04770757049359256,0.05321740420724185,0.06050073326702997
f26,0.04803487284067085,0.05398538312737141,0.05398538312737141,0.04877751148229023,0.0315528239056421
f13,0.04242730040512768,0.03671091700254301,0.03671091700254301,0.039512479483287344,0.018905799873544033
f1,0.0404579483481009,0.03667849819930344,0.03667849819930344,0.04158141185842727,0.02957527105610563
f22,0.0357416550880751,0.04098634439283055,0.04098634439283055,0.0394089523355622,0.031001631916932646
f4,0.018418659901789543,0.021592941299620895,0.021592941299620895,0.01901923550468541,0.007728412472888801
f27,0.00022009789182638544,0.00012776610111414938,0.00012776610111414938,0.0001615915734769585,3.2057018222151672e-06
f19,0.00017025292834298595,0.00013595269687099816,0.00013595269687099816,4.578407605233885e-05,4.464636157296873e-06
f11,0.00013588532596802412,0.0,0.0,0.0,1.1418228988772069e-06
f14,9.08950757926952e-05,0.0002127096645240842,0.0002127096645240842,9.720961869126669e-05,0.0
f20,8.083910964989857e-05,0.0,0.0,4.991730175332167e-05,0.0
f25,7.731518035126841e-05,0.0,0.0,5.1571198300777645e-05,7.385134014003525e-07
f28,7.200092222582662e-05,4.429871362273163e-05,4.429871362273163e-05,7.334952373249083e-05,3.891898874605133e-07
f10,4.2393987477580715e-05,0.00015109156167612982,0.00015109156167612982,5.547555818553442e-05,3.34423153916219e-07
f18,0.0,0.0,0.0,0.00013492382543676916,0.0
f7,0.0,0.0,0.0,0.0,1.3876136669065768e-07
f21,0.0,0.0,0.0,0.0,0.0
f15,0.0,0.0,0.0,9.239904111431423e-06,0.0
f23,0.0,0.00012015934630264045,0.00012015934630264045,0.00010606915084746573,3.011460598701634e-06
f5,0.0,0.0,0.0,5.197739723288743e-05,0.0
f30,0.0,0.00012576352993989897,0.00012576352993989897,0.0,0.0
f0,0.0,0.000142215098512377,0.000142215098512377,0.00011100992427616532,0.0
