,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,986,985,985,974,989
1,977,969,969,969,969
2,973,982,982,972,975
3,986,987,987,986,982
4,998,992,992,996,1000
5,980,1012,1012,975,987
6,989,989,989,989,1001
7,991,996,996,988,1007
8,978,1000,1000,983,983
9,987,1002,1002,985,992
10,993,980,980,970,992
11,977,999,999,971,979
12,969,977,977,970,985
13,1002,979,979,975,997
14,956,950,950,983,956
15,992,985,985,988,980
16,992,929,929,946,993
17,896,931,931,981,978
18,951,890,890,884,990
19,979,1002,1002,980,917
20,843,982,982,845,991
21,976,888,888,986,997
22,847,967,967,831,844
23,978,882,882,949,939
24,815,924,924,837,870
25,967,902,902,929,943
26,928,837,837,821,851
27,813,935,935,839,875
28,845,920,920,933,928
29,847,822,822,816,830
30,914,858,858,847,850
31,884,821,821,891,876
32,835,866,866,681,847
33,926,806,806,786,865
34,846,792,792,907,592
35,508,495,495,834,818
36,563,889,889,553,741
37,790,505,505,519,880
38,497,553,553,556,639
39,870,526,526,832,887
40,551,717,717,499,575
41,796,783,783,577,940
42,759,527,527,474,549
43,882,677,677,616,880
44,476,693,693,745,490
45,463,545,545,887,583
46,876,936,936,678,646
47,513,661,661,452,602
48,718,921,921,724,674
49,527,528,528,834,605
50,589,840,840,814,655
51,475,847,847,651,473
52,595,783,783,441,406
53,810,487,487,920,658
54,619,413,413,723,521
55,606,621,621,573,611
56,416,776,776,936,586
57,453,448,448,501,854
58,394,450,450,558,935
59,545,684,684,894,533
60,399,428,428,519,431
61,962,371,371,946,472
62,755,927,927,369,635
63,592,667,667,532,428
64,510,734,734,458,534
65,358,597,597,382,751
66,386,646,646,360,895
67,670,471,471,582,464
68,499,859,859,824,593
69,655,520,520,495,622
70,673,715,715,383,929
71,659,394,394,468,959
72,681,578,578,571,435
73,664,876,876,479,787
74,898,802,802,952,702
75,378,841,841,841,714
76,522,516,516,908,895
77,836,985,985,439,621
78,400,826,826,679,959
79,514,828,828,957,626
80,403,845,845,741,952
81,440,622,622,833,401
82,972,542,542,937,947
83,683,912,912,418,593
84,550,539,539,439,933
85,757,833,833,818,493
86,966,881,881,932,911
87,820,391,391,852,894
88,755,739,739,911,386
89,350,874,874,594,625
90,654,819,819,804,442
91,766,405,405,915,889
92,857,712,712,843,381
93,722,776,776,813,756
94,967,690,690,513,925
95,525,622,622,477,798
96,315,824,824,769,540
97,736,695,695,294,482
98,929,641,641,867,781
99,655,837,837,718,572
