,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,0.651102,0.651142,0.651142,0.651142,0.6514356045812935
1,0.615472,0.6155,0.6155,0.615166,0.6154210725135854
2,0.584237,0.584218,0.584218,0.58393,0.5839574761762151
3,0.557181,0.556905,0.556905,0.557199,0.5575520653490711
4,0.531759,0.533702,0.533702,0.532187,0.5332229027576535
5,0.510279,0.513133,0.513133,0.510559,0.5126939690790123
6,0.491606,0.494682,0.494682,0.492216,0.4933217236685827
7,0.474437,0.476205,0.476205,0.474957,0.475883961737188
8,0.458903,0.46087,0.46087,0.459142,0.4601091079631215
9,0.444361,0.445849,0.445849,0.445087,0.4460407615534626
10,0.432484,0.433083,0.433083,0.431881,0.43268024421260287
11,0.421011,0.421512,0.421512,0.421099,0.4210995640118513
12,0.409711,0.411158,0.411158,0.410304,0.41048257449149617
13,0.399644,0.400394,0.400394,0.400031,0.4000460969442337
14,0.390049,0.391739,0.391739,0.391321,0.39073005201838845
15,0.381912,0.383524,0.383524,0.38258,0.38213359720114104
16,0.374603,0.376481,0.376481,0.37477,0.37430462868878395
17,0.367717,0.369278,0.369278,0.367688,0.36836940941567503
18,0.360325,0.361917,0.361917,0.361319,0.36235991938913453
19,0.354255,0.356809,0.356809,0.355827,0.3562030442413017
20,0.348916,0.350489,0.350489,0.349528,0.34951217225306364
21,0.343202,0.344794,0.344794,0.344676,0.34488694651264606
22,0.338483,0.33982,0.33982,0.338581,0.33885856108153306
23,0.333344,0.334857,0.334857,0.332989,0.33454788181726436
24,0.328499,0.330358,0.330358,0.328595,0.329986767326865
25,0.325066,0.325771,0.325771,0.324847,0.3258930427608596
26,0.320887,0.321571,0.321571,0.320383,0.3217769368335168
27,0.317534,0.317751,0.317751,0.316887,0.3174496639290672
28,0.312755,0.314706,0.314706,0.313311,0.3137266363161771
29,0.308896,0.311423,0.311423,0.309511,0.31046333750115734
30,0.305014,0.308016,0.308016,0.306319,0.3075068695559707
31,0.301811,0.305365,0.305365,0.303382,0.30404183861891904
32,0.298938,0.302506,0.302506,0.300914,0.300712814106727
33,0.295404,0.299759,0.299759,0.29781,0.2991655914772424
34,0.293354,0.29719,0.29719,0.295039,0.29661090665553613
35,0.290777,0.29318,0.29318,0.292668,0.2942177114407856
36,0.28776,0.291355,0.291355,0.290426,0.2901489592615417
37,0.28497,0.288703,0.288703,0.28655,0.28659116490851033
38,0.282571,0.286171,0.286171,0.283087,0.284832277733462
39,0.281013,0.284415,0.284415,0.280999,0.2823168753283805
40,0.279833,0.281819,0.281819,0.279022,0.2802309800887096
41,0.277816,0.279435,0.279435,0.277777,0.27923589129952514
42,0.27679,0.278148,0.278148,0.275936,0.27796564733984885
43,0.275203,0.276941,0.276941,0.274556,0.27608382420607536
44,0.273798,0.275581,0.275581,0.27263,0.2749898340158078
45,0.272425,0.274393,0.274393,0.271926,0.2736235035812347
46,0.271629,0.273153,0.273153,0.270523,0.2728503009748398
47,0.270589,0.272264,0.272264,0.269383,0.27165247057070474
48,0.269621,0.270411,0.270411,0.26892,0.2702861083961169
49,0.268054,0.269814,0.269814,0.267933,0.2695232135484051
50,0.266551,0.268377,0.268377,0.267328,0.26885759442783247
51,0.263522,0.266642,0.266642,0.264307,0.2675552483651563
52,0.262873,0.26609,0.26609,0.263892,0.266794951854528
53,0.262062,0.265511,0.265511,0.263018,0.26580884386537157
54,0.261364,0.263637,0.263637,0.26136,0.2653713725611236
55,0.259581,0.263026,0.263026,0.26038,0.2634160497354249
56,0.258444,0.261458,0.261458,0.259715,0.2617365210843538
57,0.257745,0.26055,0.26055,0.259095,0.2611841716200994
58,0.256054,0.259893,0.259893,0.257597,0.2598107376047877
59,0.255573,0.259222,0.259222,0.256306,0.25901178865303703
60,0.254291,0.258309,0.258309,0.254455,0.2574681111261973
61,0.253832,0.257582,0.257582,0.253925,0.2566353031524789
62,0.253187,0.256696,0.256696,0.253444,0.255807842813322
63,0.252133,0.256375,0.256375,0.252697,0.2537688178438832
64,0.251709,0.255628,0.255628,0.252027,0.25250511276963117
65,0.251188,0.255071,0.255071,0.251385,0.25054099283442754
66,0.250008,0.254437,0.254437,0.249558,0.2486718000733339
67,0.24817,0.254106,0.254106,0.249227,0.24792362152903488
68,0.247603,0.253699,0.253699,0.248944,0.24691932091908048
69,0.246385,0.253504,0.253504,0.247605,0.24670519378615496
70,0.246,0.252733,0.252733,0.247079,0.2459675684397287
71,0.245613,0.25085,0.25085,0.245797,0.2450715462016041
72,0.245246,0.250277,0.250277,0.245469,0.24394899860748948
73,0.244972,0.249557,0.249557,0.243715,0.24248687641048575
74,0.243041,0.247666,0.247666,0.243243,0.24103768059846112
75,0.2424,0.24634,0.24634,0.242056,0.24008851458277256
76,0.241512,0.245399,0.245399,0.241935,0.23952731585483678
77,0.240904,0.24459,0.24459,0.240912,0.2389750554206705
78,0.2403,0.244182,0.244182,0.240364,0.23814540108239762
79,0.238829,0.243187,0.243187,0.239824,0.2369781432507503
80,0.238456,0.241698,0.241698,0.238873,0.23536765278419136
81,0.23808,0.240781,0.240781,0.237124,0.2349655463126305
82,0.237865,0.23969,0.23969,0.236577,0.23469954383113126
83,0.236494,0.238898,0.238898,0.236054,0.23324761462949645
84,0.236378,0.238399,0.238399,0.235882,0.2330427137170843
85,0.236224,0.238106,0.238106,0.235625,0.2323274010034407
86,0.236074,0.237816,0.237816,0.234296,0.23094315650798025
87,0.235339,0.237112,0.237112,0.232601,0.23076007382770214
88,0.234416,0.235993,0.235993,0.232069,0.23022673243810046
89,0.233371,0.23571,0.23571,0.231687,0.22868478280521637
90,0.232372,0.234777,0.234777,0.231125,0.2285733020134709
91,0.231859,0.234081,0.234081,0.230833,0.22828074782874685
92,0.23179,0.232254,0.232254,0.230701,0.22799459711669773
93,0.23109,0.232052,0.232052,0.230603,0.22787602016631833
94,0.230776,0.231915,0.231915,0.229835,0.22706872774723655
95,0.230361,0.230929,0.230929,0.229147,0.22574496670397454
96,0.230325,0.229838,0.229838,0.228821,0.22495584494343238
97,0.22981,0.229613,0.229613,0.227977,0.22394576767606858
98,0.229654,0.228807,0.228807,0.226885,0.2235686201457012
99,0.22941,0.228093,0.228093,0.226728,0.2225405162010677
