,,Time(sec),Time(sec),Time(sec),Time(sec),Time(sec),Ratio,Ratio,Ratio,Ratio
,,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB,CPU/LGB,EQBIN_dw/LGB,EQBIN_lg/LGB,GPU/LGB
n_train,max_depth,,,,,,,,,
500000,5,32.057435274124146,6.540524244308472,6.4276041984558105,14.442196369171143,2.651005744934082,12.09255594235661,2.4671859941484597,2.424590822082747,5.447817831692497
500000,10,64.59946513175964,26.522526741027832,26.067513942718506,26.80812907218933,7.1205010414123535,9.072320157816636,3.724811861802225,3.6609100667371024,3.7649217261924495
500000,15,103.43675589561462,94.24054670333862,93.73049449920654,41.41070795059204,42.12094020843506,2.455708618652833,2.2373799406421178,2.225270709423439,0.9831382620062981
1000000,5,82.6049427986145,11.63558053970337,11.7485990524292,32.30701303482056,5.699147939682007,14.494261891931792,2.0416351115729405,2.0614658852117342,5.668744411752045
1000000,10,176.2351996898651,38.95847749710083,39.240514278411865,61.232369899749756,15.172722101211548,11.615265771973288,2.567665659281401,2.5862540694183345,4.035687827885567
1000000,15,261.0106291770935,157.55515599250793,154.05831265449524,91.2684235572815,71.05349588394165,3.673438244381764,2.2174159628944587,2.1682017293861677,1.2845029286997895
2000000,5,218.34984517097473,21.825712203979492,21.980937242507935,71.63267302513123,11.229804277420044,19.443780120906865,1.9435523242257051,1.9573749194102497,6.378799777407006
2000000,10,420.7629692554474,60.30662393569946,60.33070492744446,140.22884893417358,30.5777690410614,13.76042080409546,1.9722375381512178,1.9730250708097534,4.585973840860237
2000000,15,743.3113613128662,230.50780200958252,234.36232900619507,206.5446901321411,119.2542724609375,6.232995648490016,1.9329102199259722,1.9652321394435739,1.7319688919304435
