,EQBIN_dw,EQBIN_lg,LGB
0,32,32,32
1,32,32,32
2,32,32,32
3,32,32,32
4,32,32,32
5,32,32,32
6,32,32,32
7,32,32,32
8,32,32,32
9,32,32,32
10,32,32,32
11,32,32,32
12,32,32,32
13,32,32,32
14,32,32,32
15,32,32,32
16,32,32,32
17,32,32,32
18,32,32,32
19,32,32,32
20,32,32,32
21,32,32,32
22,32,32,32
23,32,32,32
24,32,32,32
25,32,32,32
26,32,32,32
27,32,32,32
28,32,32,32
29,32,32,32
30,32,32,32
31,32,32,32
32,32,32,32
33,32,32,31
34,32,32,31
35,32,32,30
36,32,32,32
37,32,32,32
38,32,32,31
39,32,32,30
40,32,32,32
41,32,32,32
42,32,32,31
43,32,32,32
44,32,32,31
45,32,32,32
46,32,32,30
47,30,30,32
48,32,32,32
49,31,31,32
50,32,32,32
51,29,29,32
52,29,29,29
53,32,32,32
54,30,30,32
55,32,32,32
56,29,29,32
57,32,32,32
58,29,29,32
59,32,32,32
60,30,30,29
61,32,32,32
62,32,32,31
63,32,32,32
64,31,31,32
65,32,32,32
66,32,32,30
67,29,29,30
68,32,32,32
69,31,31,32
70,32,32,32
71,31,31,32
72,32,32,30
73,32,32,31
74,32,32,32
75,30,30,32
76,32,32,32
77,29,29,32
78,32,32,30
79,31,31,32
80,32,32,32
81,32,32,32
82,32,32,32
83,32,32,27
84,32,32,32
85,32,32,32
86,32,32,32
87,32,32,32
88,32,32,32
89,28,28,30
90,30,30,32
91,32,32,31
92,28,28,32
93,32,32,32
94,32,32,31
95,31,31,31
96,32,32,32
97,32,32,32
98,32,32,30
99,32,32,27
100,32,32,25
101,30,30,32
102,28,28,32
103,31,31,27
104,32,32,32
105,32,32,31
106,32,32,31
107,31,31,27
108,32,32,25
109,30,30,32
110,32,32,32
111,31,31,32
112,32,32,32
113,32,32,32
114,32,32,32
115,31,31,32
116,31,31,31
117,32,32,32
118,32,32,29
119,32,32,32
120,31,31,32
121,32,32,31
122,32,32,32
123,30,30,26
124,30,30,31
125,31,31,32
126,31,31,32
127,30,30,32
128,32,32,32
129,32,32,32
130,25,25,32
131,31,31,29
132,27,27,30
133,32,32,32
134,31,31,30
135,32,32,31
136,32,32,32
137,32,32,30
138,32,32,32
139,31,31,32
140,26,26,32
141,32,32,31
142,30,30,31
143,32,32,32
144,28,28,32
145,32,32,32
146,30,30,31
147,30,30,32
148,32,32,26
149,32,32,32
150,32,32,32
151,32,32,32
152,32,32,32
153,30,30,29
154,32,32,32
155,32,32,30
156,32,32,32
157,32,32,32
158,29,29,32
159,29,29,32
160,27,27,30
161,32,32,32
162,26,26,32
163,32,32,32
164,31,31,32
165,32,32,32
166,32,32,32
167,32,32,32
168,32,32,32
169,32,32,24
170,32,32,32
171,32,32,32
172,31,31,32
173,32,32,31
174,29,29,32
175,31,31,32
176,31,31,32
177,31,31,32
178,32,32,32
179,32,32,32
180,31,31,32
181,32,32,32
182,32,32,31
183,32,32,32
184,31,31,31
185,32,32,30
186,32,32,32
187,32,32,32
188,22,22,32
189,29,29,28
190,31,31,32
191,32,32,32
192,32,32,32
193,32,32,27
194,29,29,32
195,30,30,32
196,27,27,32
197,23,23,32
198,32,32,32
199,32,32,26
