,,,Time(sec),Time(sec),Time(sec),Ratio,Ratio
,,,EQBIN_dw,EQBIN_lg,LGB,EQBIN_dw/LGB,EQBIN_lg/LGB
n_train,max_depth,num_leaves,,,,,
10000,5,32,14.119657278060913,11.730168104171753,0.6974866390228271,20.243624018149557,16.817767463769083
10000,10,32,12.655773639678955,13.174425840377808,1.1852610111236572,10.677625873883224,11.115210672363315
10000,10,256,62.33782362937927,64.8826162815094,4.631983041763306,13.458128638927072,14.00752457349452
10000,10,1024,68.37941527366638,69.01692152023315,5.1818225383758545,13.196016414544879,13.319043832378178
10000,15,32,12.511928796768188,13.582376480102539,1.2188966274261475,10.264963012645863,11.143173403296245
10000,15,256,72.25540709495544,69.35417771339417,6.005513906478882,12.031511078011942,11.548416803859755
10000,15,1024,88.58215069770813,88.9577157497406,6.870360851287842,12.893376725780495,12.948041256532482
10000,15,4096,89.92897176742554,90.65675497055054,8.176676273345947,10.998230669908377,11.087237887363887
10000,20,32,12.329922676086426,13.227236032485962,1.223008155822754,10.081635692602328,10.815329374142731
10000,20,256,71.84247159957886,71.07859015464783,6.155165672302246,11.67189892594837,11.547794801770456
10000,20,1024,94.09730219841003,93.8369779586792,7.0101282596588135,13.42305000892948,13.38591456288794
10000,20,4096,94.98984789848328,92.57059836387634,7.888982057571411,12.040824431501559,11.73416261924847
20000,5,32,13.511178016662598,13.227339506149292,1.0040929317474365,13.45610310506709,13.173421590698357
20000,10,32,13.759246110916138,14.613720655441284,1.5894126892089844,8.65681154072314,9.194415493633821
20000,10,256,79.54056143760681,82.77931809425354,6.521651029586792,12.196384178907293,12.693000241611884
20000,10,1024,107.73506331443787,104.97181296348572,7.781717538833618,13.844638124784211,13.489542949822832
20000,15,32,13.68088412284851,14.544316053390503,1.6304097175598145,8.391071259882015,8.92065098529868
20000,15,256,80.97177028656006,88.64242577552795,8.854140758514404,9.145073756444996,10.011409146651161
20000,15,1024,166.8833191394806,160.18921566009521,13.50636911392212,12.355898001296314,11.860272313672747
20000,15,4096,170.95983815193176,168.43464016914368,14.793840408325195,11.556149953850019,11.385457428238682
20000,20,32,13.498157262802124,14.645407915115356,1.630716323852539,8.277440450778688,8.980966033697285
20000,20,256,80.0291576385498,89.0835223197937,9.123300075531006,8.77195279953475,9.764396828151984
20000,20,1024,171.7857403755188,165.42892789840698,14.34873342514038,11.972188435428972,11.529165885022254
20000,20,4096,178.01515936851501,177.21846723556519,14.967474460601807,11.893466719258223,11.840238491941255
40000,5,32,15.515082836151123,16.167749881744385,1.6645045280456543,9.321141862177964,9.71325076581644
40000,10,32,15.591673135757446,17.277324438095093,2.568542718887329,6.07024092731914,6.726508502681039
40000,10,256,85.29799270629883,95.42346382141113,9.162631750106812,9.309333282471435,10.41441655889955
40000,10,1024,146.1873106956482,145.04080533981323,12.105305433273315,12.076300883233365,11.981589901990082
40000,15,32,15.579890012741089,17.400805711746216,2.6510515213012695,5.876871832763814,6.563737283840121
40000,15,256,87.0703489780426,100.12255311012268,12.047166109085083,7.227454837895908,8.310880102717073
40000,15,1024,258.6839864253998,260.5048813819885,25.03263521194458,10.333869536115241,10.406610377867286
40000,15,4096,321.5042042732239,318.7449429035187,28.330873012542725,11.348192628264107,11.250798475655975
40000,20,32,15.579709529876709,16.56803250312805,2.8141191005706787,5.536265159039388,5.887466703085949
40000,20,256,85.70460629463196,99.20809841156006,12.766875267028809,6.713044852562243,7.770742357589307
40000,20,1024,267.7604970932007,267.0131890773773,26.64964199066162,10.04743317703958,10.019391223752356
40000,20,4096,346.5358543395996,342.3880949020386,30.429044485092163,11.38832520716761,11.252015983274854
80000,5,32,18.831261157989502,18.841347694396973,3.090156078338623,6.09395146413247,6.097215550525443
80000,10,32,18.848261833190918,20.001425981521606,4.834778785705566,3.8984745049592346,4.136988860929381
80000,10,256,93.56247591972351,100.54554533958435,13.360321760177612,7.003010675880585,7.52568292473876
80000,10,1024,190.46507167816162,191.3933732509613,18.499940872192383,10.295442185139809,10.345620808910171
80000,15,32,19.184033155441284,19.955782175064087,5.0966551303863525,3.7640438021920932,3.915466450944923
80000,15,256,93.94495439529419,105.66666722297668,17.3485689163208,5.415141436070542,6.090800211397838
80000,15,1024,312.3531560897827,350.83990693092346,40.26144313812256,7.75812121334576,8.714042011045597
80000,15,4096,604.4326822757721,585.1634316444397,54.00892758369446,11.191347603396093,10.834568613450921
80000,20,32,19.904773950576782,22.332443952560425,5.074554681777954,3.9224671323480185,4.400867731853051
80000,20,256,93.48985481262207,106.85145854949951,18.58238935470581,5.0310997702212426,5.750146362229807
80000,20,1024,314.0935740470886,349.77056097984314,43.46343755722046,7.226616017970929,8.0474665750808
80000,20,4096,633.7390179634094,623.0667972564697,59.59757685661316,10.633637328714439,10.454565942429454
160000,5,32,25.420673370361328,24.834094285964966,5.647565841674805,4.5011734405601445,4.397309386409974
160000,10,32,24.821107387542725,26.659069061279297,8.811826467514038,2.8167948471351556,3.025373815469639
160000,10,256,104.03197598457336,112.26477575302124,20.6408851146698,5.040092777350726,5.438951630675611
160000,10,1024,238.00349140167236,239.21081709861755,27.933722257614136,8.520292756071838,8.563513837953113
160000,15,32,25.107932329177856,27.097275972366333,9.200572967529297,2.7289531225706143,2.9451726613112204
160000,15,256,104.65785670280457,118.05737614631653,27.570515871047974,3.796006472722792,4.282015494323396
160000,15,1024,339.6708073616028,385.79153537750244,55.78339147567749,6.089102838247205,6.9158852692869015
160000,15,4096,866.6559007167816,865.4571025371552,91.39773297309875,9.48224723442392,9.46913095527092
160000,20,32,25.26848340034485,27.044474124908447,9.199387073516846,2.7467572783286447,2.939812610207908
160000,20,256,105.06124758720398,124.55744981765747,29.882798671722412,3.515776709583151,4.168198942340835
160000,20,1024,340.9346399307251,394.75446367263794,62.07585167884827,5.492226537536096,6.359227509513923
160000,20,4096,1002.4953310489655,993.4197509288788,110.30068373680115,9.088749925078561,9.00646956368259
320000,5,32,36.967949867248535,37.06400442123413,11.122230768203735,3.323789142456261,3.3324254094055314
320000,10,32,36.8414204120636,39.93785524368286,16.83983850479126,2.187753784074681,2.371629349789772
320000,10,256,124.43489360809326,131.746972322464,36.3765070438385,3.4207488217088233,3.6217598397694277
320000,10,1024,301.84764862060547,300.5461356639862,46.110161781311035,6.54622835747559,6.51800219416712
320000,15,32,37.530192613601685,39.14850354194641,17.476321935653687,2.1474880556552245,2.2400882569048473
320000,15,256,124.09440970420837,137.1942892074585,47.702900886535645,2.6014017470211037,2.876015643865847
320000,15,1024,371.0371446609497,416.2717332839966,81.23585033416748,4.567406423822376,5.12423679412037
320000,15,4096,1165.6367070674896,1209.1310448646545,151.41722059249878,7.698177938455934,7.985426229152135
320000,20,32,37.00379133224487,39.5628445148468,17.467522621154785,2.118433857783007,2.2649373567681854
320000,20,256,123.97476315498352,146.65959239006042,51.78231763839722,2.394152459932669,2.832233068712833
320000,20,1024,387.5235857963562,426.68822503089905,92.41955208778381,4.193090931973687,4.616860993067932
320000,20,4096,1297.9180121421814,1348.3728322982788,188.30771732330322,6.892537547538755,7.160475690878212
