,hist_dw,hist_lg,hist_GPU,GPU,LGB
f3,0.13250625664278093,0.13250625664278093,0.13251883683366353,0.13475684557547007,0.13354613227979314
f29,0.09680970417169528,0.09680970417169528,0.08035628760484244,0.09459512246879848,0.10110023543759858
f16,0.08904231169169653,0.08904231169169653,0.06990240712131923,0.08749135079562112,0.07976661545948333
f31,0.08146088123472235,0.08146088123472235,0.09383841725806376,0.07045740148600879,0.037352753379850986
f12,0.06958556960428018,0.06958556960428018,0.10683670113303219,0.07081033144574106,0.06088767369069272
f2,0.06312500629697251,0.06312500629697251,0.02283544854965103,0.07107208888967449,0.060192230476226655
f9,0.062092485346707534,0.062092485346707534,0.058357376411090296,0.06505076312099789,0.09028283387539246
f24,0.05939415426912891,0.05939415426912891,0.08360912076822381,0.05960597534952996,0.11557100559876858
f8,0.055976008857528466,0.055976008857528466,0.062280245879171484,0.05811493335318126,0.08613829452348017
f26,0.05398538312737141,0.05398538312737141,0.02713694436026112,0.04803487284067085,0.02621004124277609
f6,0.0512860106566624,0.0512860106566624,0.0554259290577456,0.053220058377267655,0.06370335470614275
f17,0.04770757049359256,0.04770757049359256,0.02597010781159422,0.04885501213231041,0.0604216268329803
f22,0.04098634439283055,0.04098634439283055,0.049440298251442145,0.0357416550880751,0.0284990566931443
f13,0.03671091700254301,0.03671091700254301,0.03870256101359267,0.04242730040512768,0.01607384895429129
f1,0.03667849819930344,0.03667849819930344,0.06944937249647032,0.0404579483481009,0.03190245202076937
f4,0.021592941299620895,0.021592941299620895,0.0169858302905551,0.018418659901789543,0.008339297958723041
f14,0.0002127096645240842,0.0002127096645240842,0.00031775981329764557,9.08950757926952e-05,1.1639674479993214e-06
f10,0.00015109156167612982,0.00015109156167612982,1.6403525463128203e-06,4.2393987477580715e-05,2.241483751724818e-08
f0,0.000142215098512377,0.000142215098512377,0.00014310588641750014,0.0,7.507825580318845e-07
f19,0.00013595269687099816,0.00013595269687099816,0.0003821885372700268,0.00017025292834298595,2.308699490521825e-06
f27,0.00012776610111414938,0.00012776610111414938,0.00029740243152944396,0.00022009789182638544,2.4321309206621747e-06
f30,0.00012576352993989897,0.00012576352993989897,0.0005617076207854441,0.0,8.559889521813277e-07
f23,0.00012015934630264045,0.00012015934630264045,0.0002775692283845054,0.0,1.6780587597780354e-06
f28,4.429871362273163e-05,4.429871362273163e-05,0.0007429067682867255,7.200092222582662e-05,6.003394585152267e-07
f20,0.0,0.0,0.0,8.083910964989857e-05,0.0
f21,0.0,0.0,0.0,0.0,0.0
f5,0.0,0.0,0.0009215640720521814,0.0,0.0
f15,0.0,0.0,0.0,0.0,0.0
f25,0.0,0.0,0.0,7.731518035126841e-05,1.4332295400432799e-06
f11,0.0,0.0,0.0027082704487111737,0.00013588532596802412,7.050448833187836e-07
f7,0.0,0.0,0.0,0.0,5.962130375306774e-07
f18,0.0,0.0,0.0,0.0,0.0
