,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,985,985,983,1021,982
1,969,969,973,1021,978
2,982,982,981,1023,972
3,987,987,986,1019,993
4,992,992,995,1022,989
5,1012,1012,994,1023,990
6,989,989,1000,1023,987
7,996,996,991,1023,994
8,1000,1000,990,1016,996
9,1002,1002,982,1023,997
10,980,980,981,1023,992
11,999,999,997,1020,971
12,977,977,972,1019,986
13,979,979,984,1023,968
14,950,950,973,1019,973
15,985,985,988,1019,940
16,929,929,928,1020,986
17,931,931,927,1011,898
18,890,890,988,1024,907
19,1002,1002,886,1003,984
20,982,982,1006,1003,892
21,888,888,991,1022,869
22,967,967,983,985,996
23,882,882,897,1018,973
24,924,924,846,1023,957
25,902,902,932,1012,843
26,837,837,930,968,892
27,935,935,853,1020,927
28,920,920,836,1013,820
29,822,822,876,999,932
30,858,858,797,981,908
31,821,821,945,1009,810
32,866,866,855,1012,867
33,806,806,824,1007,909
34,792,792,574,992,633
35,495,495,765,1000,485
36,889,889,576,992,613
37,505,505,752,976,609
38,553,553,630,824,697
39,526,526,776,788,495
40,717,717,556,827,571
41,783,783,557,1002,463
42,527,527,736,825,876
43,677,677,513,871,765
44,693,693,635,763,635
45,545,545,907,808,586
46,936,936,564,974,518
47,661,661,746,897,675
48,921,921,891,832,598
49,528,528,556,873,443
50,840,840,608,857,659
51,847,847,621,917,477
52,783,783,896,818,490
53,487,487,397,880,400
54,413,413,710,718,526
55,621,621,615,894,617
56,776,776,921,675,523
57,448,448,451,909,651
58,450,450,542,1016,921
59,684,684,578,868,607
60,428,428,399,1020,736
61,371,371,598,830,930
62,927,927,756,991,608
63,667,667,634,731,797
64,734,734,643,775,519
65,597,597,434,727,931
66,646,646,478,1023,491
67,471,471,895,842,912
68,859,859,588,901,703
69,520,520,675,741,441
70,715,715,415,626,590
71,394,394,669,733,880
72,578,578,334,893,658
73,876,876,544,760,801
74,802,802,871,1007,937
75,841,841,603,1004,663
76,516,516,406,966,859
77,985,985,918,641,474
78,826,826,930,923,817
79,828,828,637,832,758
80,845,845,945,982,921
81,622,622,395,1016,406
82,542,542,736,1006,421
83,912,912,781,987,354
84,539,539,473,1018,469
85,833,833,916,1009,911
86,881,881,859,1009,686
87,391,391,598,635,820
88,739,739,813,662,907
89,874,874,469,703,390
90,819,819,640,1017,675
91,405,405,837,768,503
92,712,712,530,766,632
93,776,776,900,763,586
94,690,690,931,676,933
95,622,622,583,791,837
96,824,824,837,1018,468
97,695,695,888,1016,869
98,641,641,954,860,744
99,837,837,947,945,926
