,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,0.659664,0.659664,0.660116,0.659601,0.6591144157400111
1,0.629848,0.629848,0.630704,0.629857,0.6295292728062329
2,0.601179,0.601179,0.602518,0.602096,0.6012678332798262
3,0.575934,0.575934,0.577648,0.577712,0.5758670323771813
4,0.553205,0.553205,0.555369,0.553831,0.5527868390342865
5,0.531057,0.531057,0.534169,0.532063,0.5309131174975
6,0.510026,0.510026,0.513485,0.512723,0.5113026202707449
7,0.491372,0.491372,0.495282,0.493217,0.4928191470788197
8,0.475373,0.475373,0.478561,0.475108,0.47585963548227617
9,0.459065,0.459065,0.462581,0.460405,0.46094995414852913
10,0.443829,0.443829,0.448494,0.445201,0.4454062039186506
11,0.429855,0.429855,0.434642,0.431409,0.42968795592670994
12,0.417803,0.417803,0.420574,0.418364,0.417186064568492
13,0.405137,0.405137,0.407625,0.404934,0.4031926801893101
14,0.393588,0.393588,0.396656,0.393175,0.3918741032297546
15,0.381635,0.381635,0.386669,0.3825,0.38153606819864805
16,0.372098,0.372098,0.37528,0.369824,0.3711007981690418
17,0.360732,0.360732,0.36515,0.358704,0.36131494664288877
18,0.350119,0.350119,0.354435,0.350152,0.35109499414758055
19,0.341565,0.341565,0.346104,0.341558,0.3428115677263963
20,0.333966,0.333966,0.336813,0.33178,0.332997238811653
21,0.325304,0.325304,0.32727,0.325211,0.32539326723487655
22,0.31745,0.31745,0.320668,0.316918,0.31555893120077194
23,0.311683,0.311683,0.313907,0.307572,0.30872357064753975
24,0.305439,0.305439,0.30495,0.298805,0.3016538118230581
25,0.295948,0.295948,0.297341,0.289808,0.293042627141669
26,0.289694,0.289694,0.291517,0.284135,0.28449878496917674
27,0.281371,0.281371,0.284911,0.276635,0.27871969464063817
28,0.275438,0.275438,0.278239,0.268044,0.27258190909664376
29,0.26835,0.26835,0.271885,0.262507,0.26722067875471023
30,0.261518,0.261518,0.263918,0.256473,0.2614946288534229
31,0.256253,0.256253,0.259468,0.250701,0.2567141386435006
32,0.250957,0.250957,0.253209,0.246646,0.24997770910095868
33,0.246087,0.246087,0.248288,0.24078,0.24538545568476916
34,0.241956,0.241956,0.244141,0.236477,0.24042340270226592
35,0.236626,0.236626,0.240082,0.231969,0.23420546656798424
36,0.232961,0.232961,0.235572,0.22743,0.23095731121104832
37,0.227509,0.227509,0.230738,0.222424,0.22648048513454028
38,0.223618,0.223618,0.226534,0.218901,0.22151817238924937
39,0.21911,0.21911,0.223514,0.21444,0.21723951440713873
40,0.213834,0.213834,0.219645,0.211171,0.21373726771213888
41,0.209301,0.209301,0.216629,0.206978,0.21002822551915257
42,0.205573,0.205573,0.211794,0.204475,0.2067057592442899
43,0.201419,0.201419,0.207484,0.200829,0.20417535073933188
44,0.197973,0.197973,0.203331,0.197474,0.19959653804166516
45,0.194773,0.194773,0.201036,0.193199,0.19518898947261315
46,0.191179,0.191179,0.196882,0.190121,0.1915779348419908
47,0.187691,0.187691,0.194227,0.185654,0.18868972030486175
48,0.184463,0.184463,0.190963,0.182354,0.1851164497680797
49,0.182011,0.182011,0.188569,0.178426,0.18224074845668697
50,0.180379,0.180379,0.185342,0.17457,0.17937004174780727
51,0.176765,0.176765,0.181276,0.170448,0.17680848527674742
52,0.173567,0.173567,0.179336,0.16714,0.17343016810445058
53,0.170488,0.170488,0.176413,0.164111,0.1719903373799818
54,0.16726,0.16726,0.171932,0.161389,0.16917347342653688
55,0.164178,0.164178,0.169598,0.157633,0.1663530543727645
56,0.162428,0.162428,0.166209,0.155782,0.16475341981912606
57,0.158601,0.158601,0.163318,0.153119,0.1627849982533686
58,0.156729,0.156729,0.161165,0.151381,0.16104409367296224
59,0.155067,0.155067,0.159472,0.149247,0.15783466694442755
60,0.151936,0.151936,0.157105,0.145959,0.15508967932450163
61,0.149118,0.149118,0.155107,0.143518,0.15300655328746424
62,0.146487,0.146487,0.153112,0.141607,0.15134165157163978
63,0.145078,0.145078,0.14951,0.139585,0.1494168662892331
64,0.143086,0.143086,0.147535,0.136908,0.1470427788738436
65,0.141758,0.141758,0.145797,0.134537,0.14569443300203555
66,0.13936,0.13936,0.143369,0.132456,0.1434343470009349
67,0.136611,0.136611,0.139481,0.131186,0.14113750768219366
68,0.135254,0.135254,0.13831,0.129508,0.1392447546124327
